,Max Features,Accuray
0,1,13.302752293577981
0,101,14.067278287461773
0,201,11.697247706422019
0,301,8.180428134556575
0,401,4.587155963302752
0,501,11.238532110091743
0,601,5.73394495412844
0,701,12.614678899082568
0,801,6.574923547400612
0,901,9.097859327217126
0,1001,5.122324159021407
0,1101,11.009174311926605
0,1201,10.779816513761467
0,1301,6.957186544342508
0,1401,8.562691131498472
0,1501,11.697247706422019
0,1601,4.81651376146789
0,1701,12.996941896024465
0,1801,7.951070336391437
0,1901,6.804281345565749
0,2001,6.4984709480122325
0,2101,6.804281345565749
0,2201,6.039755351681957
0,2301,8.027522935779816
0,2401,12.308868501529052
0,2501,5.045871559633028
0,2601,10.856269113149848
0,2701,9.862385321100918
0,2801,8.027522935779816
0,2901,7.951070336391437
0,3001,10.091743119266056
0,3101,9.250764525993883
0,3201,9.021406727828746
0,3301,5.657492354740061
0,3401,6.192660550458716
0,3501,10.779816513761467
0,3601,7.798165137614679
0,3701,8.180428134556575
0,3801,11.54434250764526
0,3901,6.345565749235474
0,4001,7.951070336391437
